HTML_name,Hex,RGB,Colour_Group
DarkSlateBlue,48 3D 8B, 72  61 139,Purple/Magenta
SlateBlue,6A 5A CD,106  90 205,Purple/Magenta
MediumSlateBlue ,7B 68 EE,123 104 238,Purple/Magenta
White,FF FF FF,255 255 255,White
Snow,FF FA FA,255 250 250,White
Honeydew,F0 FF F0,240 255 240,White
MintCream,F5 FF FA,245 255 250,White
Azure,F0 FF FF,240 255 255,White
AliceBlue,F0 F8 FF,240 248 255,White
GhostWhite,F8 F8 FF,248 248 255,White
WhiteSmoke,F5 F5 F5,245 245 245,White
Seashell,FF F5 EE,255 245 238,White
Beige,F5 F5 DC,245 245 220,White
OldLace,FD F5 E6,253 245 230,White
FloralWhite,FF FA F0,255 250 240,White
Ivory,FF FF F0,255 255 240,White
AntiqueWhite,FA EB D7,250 235 215,White
Linen,FA F0 E6,250 240 230,White
LavenderBlush,FF F0 F5,255 240 245,White
MistyRose,FF E4 E1,255 228 225,White
Gainsboro,DC DC DC,220 220 220,Gray/Black
LightGray,D3 D3 D3,211 211 211,Gray/Black
Silver,C0 C0 C0,192 192 192,Gray/Black
DarkGray,A9 A9 A9,169 169 169,Gray/Black
Gray,80 80 80,128 128 128,Gray/Black
DimGray,69 69 69,105 105 105,Gray/Black
LightSlateGray,77 88 99,119 136 153,Gray/Black
SlateGray,70 80 90,112 128 144,Gray/Black
DarkSlateGray,2F 4F 4F, 47  79  79,Gray/Black
Black,00 00 00,  0   0   0,Gray/Black
